Author,Story Date,Story URL,Headline,Claim URL,Claimed By,What (Claim),About Subject,About Person,Language
Pragya Shukla,19th Dec 2022,https://www.vishvasnews.com/viral/fact-check-pm-modi-did-not-give-this-statement-while-supporting-the-film-pathan-viral-video-edited/,"Fact Check : फिल्म पठान का समर्थन करते हुए पीएम मोदी ने नहीं दिया यह बयान, वायरल वीडियो एडिटेड",https://www.facebook.com/watch/?v=1897810487230289,मनोज कुमार जाटव,पीएम मोदी ने फिल्म पठान को समर्थन करते हुए खुद को पठान का बच्चा बताया।,Pathan,PM Modi,Hindi
Jyoti,19th Dec 2022,https://www.vishvasnews.com/viral/fact-check-deepikas-old-video-shared-on-depression-is-being-linked-to-the-film-pathan/,Fact Check : डिप्रेशन पर शेयर किए गए दीपिका के पुराने वीडियो को फिल्म ‘पठान’ से जोड़कर किया जा रहा शेयर,https://www.facebook.com/100086879157622/videos/700450468425063,फेसबुक पेज : काशी टॉक,पठान फिल्म के विरोध प्रदर्शन को लेकर अभिनेत्री दीपिका पादुकोण हुई भावुक।,Pathan Film ,Dipika Padukone,Hindi
Sharad Prakash Asthana,19th Dec 2022,https://www.vishvasnews.com/viral/fact-check-lionel-messi-biography-fake-post-viral-after-fifa-world-cup-2022/,"Fact Check: Lionel Messi का जन्म अर्जेंटीना में हुआ था, मनगढ़ंत दावा वायरल",https://www.facebook.com/mishra.bhaskar.9/posts/pfbid0Xzmz5hQtPa5zfymCddpjUV6fZpAJgLxxVVMc9EnmfEHjBrC4d7EeyPBFCdUYQjSDl,FB User- Bhaskar Mishra,लियोनेल मेसी का जन्म पंजाब के रामपुर गांव में हुआ था।,Soccer Player Birth In Punjab,Lionel Messi,Hindi
Pragya Shukla,19th Dec 2022,https://www.vishvasnews.com/world/fact-check-edited-photo-of-cristiano-ronaldo-supporting-messi-viral-with-false-claim/,Fact Check : मेसी का समर्थन करते क्रिस्टियानो रोनाल्डो की एडिटेड तस्वीर गलत दावे के साथ हुई वायरल,https://www.facebook.com/photo/?fbid=156643960447341&set=a.135833039195100,ठग लाइफ काठमांडू,मेसी का समर्थन करते क्रिस्टियानो रोनाल्डो, Ronaldo supporting Messi,Cristiano Ronaldo,Hindi
Umam Noor,18th Dec 2022,https://www.vishvasnews.com/politics/fact-check-hijab-law-is-not-dismissed-in-iran-and-the-claim-about-disbandment-of-morality-police-is-also-wrong/,"Fact Check: ईरान में हिजाब अनिवार्यता कानून नहीं हुआ खत्म, नैतिकता पुलिस के भंग होने का दावा भी गलत है",https://www.facebook.com/photo/?fbid=583422930458927&set=a.252199546914602,Day Care Home -crech,ईरान की सरकार ने हिजाब पहनने को अनिवार्य करने वाले कानून को ख़त्म कर दिया है और धार्मिक पुलिस को भंग कर दिया गया है।,Hijab Row in Iran,Iran,Hindi
Pragya Shukla,16th Dec 2022,https://www.vishvasnews.com/viral/fact-check-sunni-waqf-board-has-not-claimed-the-property-of-shirdi-sai-sansthan-viral-claim-is-wrong/,"Fact Check : सुन्नी वक्फ बोर्ड ने ‘शिरडी साई संस्थान’ की संपत्ति पर नहीं जताया हक, वायरल दावा गलत",https://www.facebook.com/photo/?fbid=1430711124364423&set=a.104933143608901,फेसबुक यूजर -अजीत कुमार चोटरानी,सुन्नी वक्फ बोर्ड ने ‘शिरडी साई संस्थान’ की संपत्ति पर जताया हक,claimed on shirdi sai property,sunni waqf board,Hindi
Pragya Shukla,16th Dec 2022,https://www.vishvasnews.com/politics/fact-check-the-picture-of-rahul-gandhi-reading-english-newspaper-is-going-viral-once-again-with-the-intention-of-propaganda/,Fact Check : अंग्रेजी अखबार पढ़ते राहुल गांधी की तस्वीर एक बार फिर दुष्प्रचार की मंशा से हो रही वायरल,https://www.facebook.com/photo/?fbid=490759236493658&set=a.437598265143089,हिंदुस्तान टीवी,कन्नड़ अख़बार पढ़ते हुए राहुल गांधी की तस्वीर।,Kannada newspaper,Rahul Gandhi,Hindi
Umam Noor,16th Dec 2022,https://www.vishvasnews.com/viral/fact-check-screenshot-of-tweet-from-aamir-khans-fan-account-viral-on-facebook-with-misleading-claim/,Fact Check: आमिर खान के फैन अकाउंट से किये गए ट्वीट का स्क्रीनशॉट फेसबुक पर भ्रामक दावे के साथ वायरल,https://www.facebook.com/photo/?fbid=870613093970318&set=gm.1476715819485026&idorvanity=832267403929874,Vikramaingh Sisodiya,आमिर खान का ट्वीट समझते हुए इस पोस्ट को वायरल किया जा रहा है।,Pathan movie,Amir Khan,Hindi
Jyoti,16th Dec 2022,https://www.vishvasnews.com/viral/fact-check-a-scene-from-the-film-don-2-is-being-shared-with-a-false-claim-that-it-is-from-the-film-pathan/,Fact Check : डॉन 2 फिल्म के दृश्य को फिल्म पठान का बताकर किया जा रहा शेयर,https://www.facebook.com/100008171232445/videos/1303908557114548,फेसबुक यूजर - शनि गुप्ता,शाहरुख़ खान की पठान फिल्म का दृश्य।,Boycott PATHAN,Shahrukh khan ,Hindi
Umam Noor,15th Dec 2022,https://www.vishvasnews.com/viral/fact-check-images-of-army-jawan-killed-in-road-accident-viral-with-misleading-claim-in-the-name-of-kashmir/,Fact Check: सड़क हादसे में मृत सेना के जवान की मौत की तस्वीर कश्मीर के नाम पर भ्रामक दावे के साथ वायरल,https://www.facebook.com/photo?fbid=190093600345655&set=a.148601057828243,Sandeep zik, शादी के 10 दिन बाद कश्मीर में भारतीय सेना के जवान शक्ति सिंह शहीद,Indian Army,Solider Shakti Singh,Hindi
Jyoti,15th Dec 2022,https://www.vishvasnews.com/politics/fact-check-the-viral-statement-attributed-to-bjp-mp-kirron-kher-is-fake/,Fact Check: बीजेपी सांसद किरण खेर के नाम से वायरल हो रहा बयान फर्जी है,https://www.facebook.com/photo/?fbid=2459364890899031&set=a.132259590276251,फेसबुक यूजर -विनोद गुर्जर,किरण खेर ने कहा बलात्कार हमारी संस्कृति का हिस्सा है।,BJP Leader ,Kiron Kher,Hindi
Pragya Shukla,15th Dec 2022,https://www.vishvasnews.com/politics/fact-check-pm-modi-didnt-push-eknath-shinde-behind-for-the-camera-half-clip-viral/,"Fact Check : पीएम मोदी ने कैमरे के लिए एकनाथ शिंदे को नहीं हटाया पीछे, आधी-अधूरी क्लिप वायरल",https://twitter.com/ysathishreddy/status/1601912295772557312,शशि प्रकाश सिंह,पीएम मोदी ने कैमरे के लिए एकनाथ शिंदे को  हटाया पीछे,PM Modi pushed Eknath Shinde,PM Modi,Hindi
Jyoti,14th Dec 2022,https://www.vishvasnews.com/politics/fact-check-this-video-of-an-elderly-person-climbing-on-the-roof-during-the-demolition-process-is-from-haryana-not-punjab/,"Fact Check: अवैध कब्जे गिराने की कार्रवाई के दौरान छत पर चढ़े बुजुर्ग का यह वीडियो हरियाणा का है, पंजाब का नहीं",https://www.facebook.com/100053909586702/videos/5299845560120502/,फेसबुक पेज -अकाली दल चान चक,बुजुर्ग का यह वीडियो पंजाब का है।,Demolition Punjab,Bhagwant Mann,Hindi
